,bp,taire,sst
2014-01-01T23:59:00,1012.6,12.0,15.0
2014-01-02T23:59:00,1020.3,10.7,15.0
2014-01-03T23:59:00,1023.7,11.6,14.9
2014-01-04T23:59:00,1018.5,13.6,14.9
2014-01-05T23:59:00,1017.4,14.4,14.9
2014-01-06T23:59:00,1016.2,15.2,15.2
2014-01-07T23:59:00,1019.4,14.2,15.4
2014-01-08T23:59:00,1016.6,15.1,15.7
2014-01-09T23:59:00,1012.05,14.8,15.6
2014-01-10T23:59:00,1020.2,13.45,15.6
2014-01-11T23:59:00,1020.0,14.3,16.05
2014-01-12T23:59:00,1015.0,14.5,16.3
2014-01-13T23:59:00,1017.2,16.1,16.4
2014-01-14T23:59:00,1018.5,18.1,16.5
2014-01-15T23:59:00,1019.0,16.4,16.7
2014-01-16T23:59:00,1012.5,16.1,17.0
2014-01-17T23:59:00,1012.2,16.05,17.2
2014-01-18T23:59:00,1014.4,17.1,17.2
2014-01-19T23:59:00,1012.1,17.5,17.2
2014-01-20T23:59:00,1009.1,17.65,16.9
2014-01-21T23:59:00,1005.1,15.5,16.0
2014-01-22T23:59:00,1006.1,12.6,14.7
2014-01-23T23:59:00,1011.7,11.6,15.0
2014-01-24T23:59:00,1025.2,10.1,15.3
2014-01-25T23:59:00,1018.7,13.1,15.6
2014-01-26T23:59:00,1016.7,14.0,15.9
2014-01-27T23:59:00,1015.6,16.1,16.1
2014-01-28T23:59:00,1018.6,15.2,16.1
2014-01-29T23:59:00,1016.4,15.7,16.1
2014-01-30T23:59:00,1011.3,17.5,15.9
2014-01-31T23:59:00,1016.6,13.5,15.9
2014-02-01T23:59:00,1013.4,13.4,15.7
2014-02-02T23:59:00,1010.1,13.3,15.4
2014-02-03T23:59:00,1011.6,12.9,15.1
2014-02-04T23:59:00,1006.2,14.4,14.8
2014-02-05T23:59:00,1015.1,11.9,14.2
2014-02-06T23:59:00,1014.6,12.7,14.1
2014-02-07T23:59:00,1010.9,14.4,13.5
2014-02-08T23:59:00,1013.55,14.9,13.3
2014-02-09T23:59:00,1017.3,13.1,13.7
2014-02-10T23:59:00,1014.3,14.1,14.3
2014-02-11T23:59:00,1017.6,14.5,14.7
2014-02-12T23:59:00,1021.9,14.0,15.2
2014-02-13T23:59:00,1016.7,14.4,15.5
2014-02-14T23:59:00,1015.1,16.95,15.6
2014-02-15T23:59:00,1014.4,17.3,15.7
2014-02-16T23:59:00,1016.3,15.25,15.8
2014-02-17T23:59:00,1015.9,13.7,15.9
2014-02-18T23:59:00,1015.6,15.0,15.9
2014-02-19T23:59:00,1020.0,13.2,16.2
2014-02-20T23:59:00,1019.3,13.2,16.4
2014-02-21T23:59:00,1020.0,13.6,16.4
2014-02-22T23:59:00,1020.6,14.0,16.4
2014-02-23T23:59:00,1014.5,13.8,16.5
2014-02-24T23:59:00,1015.7,14.4,16.4
2014-02-25T23:59:00,1016.9,17.4,16.3
2014-02-26T23:59:00,1015.3,14.2,16.2
2014-02-27T23:59:00,1015.8,13.7,16.2
2014-02-28T23:59:00,1016.4,14.0,16.3
2014-03-01T23:59:00,1018.45,13.7,16.2
2014-03-02T23:59:00,1018.3,13.3,16.2
2014-03-03T23:59:00,1016.2,13.0,16.1
2014-03-04T23:59:00,1014.8,13.7,15.9
